% Moku:Go Spectrum Analyzer
% Input A
% Start freq 1 Hz, stop freq 30.000 000 MHz, RBW 146.6 kHz (Auto mode), Blackman-Harris window, Video filter off
% Averaging: 32 spectra per frame, 25 frame averages
% Acquired 2024-11-07 T 15:14:08 +0530
% Frequency (Hz), Input A (dBm)
2.198486356065e+06, -4.544680e+01
2.229003934190e+06, -4.558074e+01
2.259521512315e+06, -4.555549e+01
2.290039090440e+06, -4.538346e+01
2.320556668565e+06, -4.515767e+01
2.351074246690e+06, -4.495940e+01
2.381591824815e+06, -4.491713e+01
2.412109402940e+06, -4.503882e+01
2.442626981065e+06, -4.525532e+01
2.473144559190e+06, -4.544846e+01
2.503662137315e+06, -4.556883e+01
2.534179715440e+06, -4.556562e+01
2.564697293565e+06, -4.544107e+01
2.595214871690e+06, -4.525856e+01
2.625732449815e+06, -4.507615e+01
2.656250027940e+06, -4.494873e+01
2.686767606065e+06, -4.490277e+01
2.717285184190e+06, -4.490893e+01
2.747802762315e+06, -4.497696e+01
2.778320340440e+06, -4.510466e+01
2.808837918565e+06, -4.527739e+01
2.839355496690e+06, -4.539030e+01
2.869873074815e+06, -4.535976e+01
2.900390652940e+06, -4.521845e+01
2.930908231065e+06, -4.506155e+01
2.961425809190e+06, -4.497512e+01
2.991943387315e+06, -4.497123e+01
3.022460965440e+06, -4.507492e+01
3.052978543565e+06, -4.529460e+01
3.083496121690e+06, -4.554475e+01
3.114013699815e+06, -4.568535e+01
3.144531277940e+06, -4.571073e+01
3.175048856065e+06, -4.558837e+01
3.205566434190e+06, -4.535963e+01
3.236084012315e+06, -4.512033e+01
3.266601590440e+06, -4.493847e+01
3.297119168565e+06, -4.487519e+01
3.327636746690e+06, -4.494331e+01
3.358154324815e+06, -4.511283e+01
3.388671902940e+06, -4.533171e+01
3.419189481065e+06, -4.553319e+01
3.449707059190e+06, -4.563832e+01
3.480224637315e+06, -4.563865e+01
3.510742215440e+06, -4.554808e+01
3.541259793565e+06, -4.538350e+01
3.571777371690e+06, -4.520234e+01
3.602294949815e+06, -4.509733e+01
3.632812527940e+06, -4.510121e+01
3.663330106065e+06, -4.521782e+01
3.693847684190e+06, -4.541502e+01
3.724365262315e+06, -4.561039e+01
3.754882840440e+06, -4.571949e+01
3.785400418565e+06, -4.568276e+01
3.815917996690e+06, -4.553660e+01
3.846435574815e+06, -4.535349e+01
3.876953152940e+06, -4.528647e+01
3.907470731065e+06, -4.538361e+01
3.937988309190e+06, -4.555516e+01
3.968505887315e+06, -4.569419e+01
3.999023465440e+06, -4.579649e+01
4.029541043565e+06, -4.584860e+01
4.060058621690e+06, -4.582292e+01
4.090576199815e+06, -4.570403e+01
4.121093777940e+06, -4.553473e+01
4.151611356065e+06, -4.538770e+01
4.182128934190e+06, -4.533624e+01
4.212646512315e+06, -4.535149e+01
4.243164090440e+06, -4.536424e+01
4.273681668565e+06, -4.544926e+01
4.304199246690e+06, -4.556196e+01
4.334716824815e+06, -4.566218e+01
4.365234402940e+06, -4.572079e+01
4.395751981065e+06, -4.569730e+01
4.426269559190e+06, -4.559346e+01
4.456787137315e+06, -4.546204e+01
4.487304715440e+06, -4.538207e+01
4.517822293565e+06, -4.538056e+01
4.548339871690e+06, -4.541390e+01
4.578857449815e+06, -4.544209e+01
4.609375027940e+06, -4.547319e+01
4.639892606065e+06, -4.554149e+01
4.670410184190e+06, -4.562087e+01
4.700927762315e+06, -4.562486e+01
4.731445340440e+06, -4.558531e+01
4.761962918565e+06, -4.556047e+01
4.792480496690e+06, -4.553850e+01
4.822998074815e+06, -4.550708e+01
4.853515652940e+06, -4.550418e+01
4.884033231065e+06, -4.551980e+01
4.914550809190e+06, -4.554940e+01
4.945068387315e+06, -4.558190e+01
4.975585965440e+06, -4.562792e+01
5.006103543565e+06, -4.567251e+01
5.036621121690e+06, -4.568416e+01
5.067138699815e+06, -4.568923e+01
5.097656277940e+06, -4.569941e+01
5.128173856065e+06, -4.563605e+01
5.158691434190e+06, -4.558331e+01
5.189209012315e+06, -4.557754e+01
5.219726590440e+06, -4.560922e+01
5.250244168565e+06, -4.569191e+01
5.280761746690e+06, -4.576555e+01
5.311279324815e+06, -4.574609e+01
5.341796902940e+06, -4.563037e+01
5.372314481065e+06, -4.545988e+01
5.402832059190e+06, -4.532952e+01
5.433349637315e+06, -4.526546e+01
5.463867215440e+06, -4.527846e+01
5.494384793565e+06, -4.538623e+01
5.524902371690e+06, -4.556762e+01
5.555419949815e+06, -4.573916e+01
5.585937527940e+06, -4.586219e+01
5.616455106065e+06, -4.592720e+01
5.646972684190e+06, -4.593438e+01
5.677490262315e+06, -4.586332e+01
5.708007840440e+06, -4.575818e+01
5.738525418565e+06, -4.566472e+01
5.769042996690e+06, -4.565423e+01
5.799560574815e+06, -4.570985e+01
5.830078152940e+06, -4.577977e+01
5.860595731065e+06, -4.582358e+01
5.891113309190e+06, -4.580232e+01
5.921630887315e+06, -4.575991e+01
5.952148465440e+06, -4.573689e+01
5.982666043565e+06, -4.571907e+01
6.013183621690e+06, -4.572583e+01
6.043701199815e+06, -4.569974e+01
6.074218777940e+06, -4.569631e+01
6.104736356065e+06, -4.569679e+01
6.135253934190e+06, -4.564195e+01
6.165771512315e+06, -4.556719e+01
6.196289090440e+06, -4.546815e+01
6.226806668565e+06, -4.537564e+01
6.257324246690e+06, -4.534225e+01
6.287841824815e+06, -4.538506e+01
6.318359402940e+06, -4.544397e+01
6.348876981065e+06, -4.549153e+01
6.379394559190e+06, -4.553354e+01
6.409912137315e+06, -4.556548e+01
6.440429715440e+06, -4.559217e+01
6.470947293565e+06, -4.557766e+01
6.501464871690e+06, -4.556934e+01
6.531982449815e+06, -4.557829e+01
6.562500027940e+06, -4.558942e+01
6.593017606065e+06, -4.560033e+01
6.623535184190e+06, -4.560206e+01
6.654052762315e+06, -4.562297e+01
6.684570340440e+06, -4.565918e+01
6.715087918565e+06, -4.573956e+01
6.745605496690e+06, -4.584824e+01
6.776123074815e+06, -4.598255e+01
6.806640652940e+06, -4.609027e+01
6.837158231065e+06, -4.609526e+01
6.867675809190e+06, -4.603887e+01
6.898193387315e+06, -4.599795e+01
6.928710965440e+06, -4.599205e+01
6.959228543565e+06, -4.594589e+01
6.989746121690e+06, -4.583890e+01
7.020263699815e+06, -4.571976e+01
7.050781277940e+06, -4.563203e+01
7.081298856065e+06, -4.559143e+01
7.111816434190e+06, -4.559321e+01
7.142334012315e+06, -4.557853e+01
7.172851590440e+06, -4.553883e+01
7.203369168565e+06, -4.553759e+01
7.233886746690e+06, -4.555789e+01
7.264404324815e+06, -4.562284e+01
7.294921902940e+06, -4.568951e+01
7.325439481065e+06, -4.570538e+01
7.355957059190e+06, -4.565134e+01
7.386474637315e+06, -4.559176e+01
7.416992215440e+06, -4.553065e+01
7.447509793565e+06, -4.546411e+01
7.478027371690e+06, -4.543682e+01
7.508544949815e+06, -4.543192e+01
7.539062527940e+06, -4.543676e+01
7.569580106065e+06, -4.551621e+01
7.600097684190e+06, -4.562617e+01
7.630615262315e+06, -4.569241e+01
7.661132840440e+06, -4.571107e+01
7.691650418565e+06, -4.573159e+01
7.722167996690e+06, -4.570072e+01
7.752685574815e+06, -4.564749e+01
7.783203152940e+06, -4.562910e+01
7.813720731065e+06, -4.561924e+01
7.844238309190e+06, -4.561601e+01
7.874755887315e+06, -4.560044e+01
7.905273465440e+06, -4.553930e+01
7.935791043565e+06, -4.547491e+01
7.966308621690e+06, -4.545915e+01
7.996826199815e+06, -4.551347e+01
8.027343777940e+06, -4.562678e+01
8.057861356065e+06, -4.575069e+01
8.088378934190e+06, -4.586277e+01
8.118896512315e+06, -4.592013e+01
8.149414090440e+06, -4.592737e+01
8.179931668565e+06, -4.594909e+01
8.210449246690e+06, -4.598992e+01
8.240966824815e+06, -4.601371e+01
8.271484402940e+06, -4.601320e+01
8.302001981065e+06, -4.595796e+01
8.332519559190e+06, -4.585351e+01
8.363037137315e+06, -4.577436e+01
8.393554715440e+06, -4.571156e+01
8.424072293565e+06, -4.568471e+01
8.454589871690e+06, -4.568946e+01
8.485107449815e+06, -4.573146e+01
8.515625027940e+06, -4.575035e+01
8.546142606065e+06, -4.578113e+01
8.576660184190e+06, -4.582336e+01
8.607177762315e+06, -4.584742e+01
8.637695340440e+06, -4.584892e+01
8.668212918565e+06, -4.587532e+01
8.698730496690e+06, -4.588803e+01
8.729248074815e+06, -4.584124e+01
8.759765652940e+06, -4.572595e+01
8.790283231065e+06, -4.564359e+01
8.820800809190e+06, -4.561162e+01
8.851318387315e+06, -4.562803e+01
8.881835965440e+06, -4.569050e+01
8.912353543565e+06, -4.576217e+01
8.942871121690e+06, -4.581820e+01
8.973388699815e+06, -4.581928e+01
9.003906277940e+06, -4.579176e+01
9.034423856065e+06, -4.578097e+01
9.064941434190e+06, -4.576279e+01
9.095459012315e+06, -4.578302e+01
9.125976590440e+06, -4.582204e+01
9.156494168565e+06, -4.581836e+01
9.187011746690e+06, -4.578765e+01
9.217529324815e+06, -4.579177e+01
9.248046902940e+06, -4.585340e+01
9.278564481065e+06, -4.593250e+01
9.309082059190e+06, -4.597304e+01
9.339599637315e+06, -4.600552e+01
9.370117215440e+06, -4.601274e+01
9.400634793565e+06, -4.601796e+01
9.431152371690e+06, -4.597064e+01
9.461669949815e+06, -4.588718e+01
9.492187527940e+06, -4.576713e+01
9.522705106065e+06, -4.564254e+01
9.553222684190e+06, -4.561460e+01
9.583740262315e+06, -4.567753e+01
9.614257840440e+06, -4.575669e+01
9.644775418565e+06, -4.586295e+01
9.675292996690e+06, -4.595498e+01
9.705810574815e+06, -4.598072e+01
9.736328152940e+06, -4.598394e+01
9.766845731065e+06, -4.600393e+01
9.797363309190e+06, -4.602038e+01
9.827880887315e+06, -4.604509e+01
9.858398465440e+06, -4.605873e+01
9.888916043565e+06, -4.605237e+01
9.919433621690e+06, -4.604364e+01
9.949951199815e+06, -4.606309e+01
9.980468777940e+06, -4.609973e+01
1.001098635606e+07, -4.609041e+01
1.004150393419e+07, -4.602865e+01
1.007202151231e+07, -4.599802e+01
1.010253909044e+07, -4.601771e+01
1.013305666856e+07, -4.607870e+01
1.016357424669e+07, -4.612259e+01
1.019409182481e+07, -4.615504e+01
1.022460940294e+07, -4.612052e+01
1.025512698106e+07, -4.603078e+01
1.028564455919e+07, -4.595058e+01
1.031616213731e+07, -4.589559e+01
1.034667971544e+07, -4.578323e+01
1.037719729356e+07, -4.568507e+01
1.040771487169e+07, -4.567641e+01
1.043823244981e+07, -4.575437e+01
1.046875002794e+07, -4.591358e+01
1.049926760606e+07, -4.605371e+01
1.052978518419e+07, -4.608129e+01
1.056030276231e+07, -4.605657e+01
1.059082034044e+07, -4.602609e+01
1.062133791856e+07, -4.605849e+01
1.065185549669e+07, -4.613440e+01
1.068237307481e+07, -4.620098e+01
1.071289065294e+07, -4.623438e+01
1.074340823106e+07, -4.621438e+01
1.077392580919e+07, -4.619068e+01
1.080444338731e+07, -4.617053e+01
1.083496096544e+07, -4.617063e+01
1.086547854356e+07, -4.617635e+01
1.089599612169e+07, -4.613631e+01
1.092651369981e+07, -4.606728e+01
1.095703127794e+07, -4.597723e+01
1.098754885606e+07, -4.588775e+01
1.101806643419e+07, -4.585754e+01
1.104858401231e+07, -4.588065e+01
1.107910159044e+07, -4.589635e+01
1.110961916856e+07, -4.586618e+01
1.114013674669e+07, -4.578584e+01
1.117065432481e+07, -4.569498e+01
1.120117190294e+07, -4.562022e+01
1.123168948106e+07, -4.562111e+01
1.126220705919e+07, -4.565918e+01
1.129272463731e+07, -4.572573e+01
1.132324221544e+07, -4.580361e+01
1.135375979356e+07, -4.589666e+01
1.138427737169e+07, -4.597716e+01
1.141479494981e+07, -4.603606e+01
1.144531252794e+07, -4.605623e+01
1.147583010606e+07, -4.602723e+01
1.150634768419e+07, -4.595338e+01
1.153686526231e+07, -4.589111e+01
1.156738284044e+07, -4.584205e+01
1.159790041856e+07, -4.578483e+01
1.162841799669e+07, -4.575672e+01
1.165893557481e+07, -4.577131e+01
1.168945315294e+07, -4.581035e+01
1.171997073106e+07, -4.588766e+01
1.175048830919e+07, -4.596711e+01
1.178100588731e+07, -4.606357e+01
1.181152346544e+07, -4.616402e+01
1.184204104356e+07, -4.623405e+01
1.187255862169e+07, -4.620941e+01
1.190307619981e+07, -4.616896e+01
1.193359377794e+07, -4.614937e+01
1.196411135606e+07, -4.616848e+01
1.199462893419e+07, -4.617724e+01
1.202514651231e+07, -4.617464e+01
1.205566409044e+07, -4.614813e+01
1.208618166856e+07, -4.613812e+01
1.211669924669e+07, -4.615202e+01
1.214721682481e+07, -4.615853e+01
1.217773440294e+07, -4.614284e+01
1.220825198106e+07, -4.609567e+01
1.223876955919e+07, -4.605291e+01
1.226928713731e+07, -4.604336e+01
1.229980471544e+07, -4.610037e+01
1.233032229356e+07, -4.623544e+01
1.236083987169e+07, -4.639267e+01
1.239135744981e+07, -4.648633e+01
1.242187502794e+07, -4.646022e+01
1.245239260606e+07, -4.640778e+01
1.248291018419e+07, -4.641050e+01
1.251342776231e+07, -4.641818e+01
1.254394534044e+07, -4.642562e+01
1.257446291856e+07, -4.645401e+01
1.260498049669e+07, -4.651618e+01
1.263549807481e+07, -4.660180e+01
1.266601565294e+07, -4.669916e+01
1.269653323106e+07, -4.674667e+01
1.272705080919e+07, -4.671055e+01
1.275756838731e+07, -4.666215e+01
1.278808596544e+07, -4.661540e+01
1.281860354356e+07, -4.654883e+01
1.284912112169e+07, -4.648709e+01
1.287963869981e+07, -4.646728e+01
1.291015627794e+07, -4.650531e+01
1.294067385606e+07, -4.658256e+01
1.297119143419e+07, -4.666924e+01
1.300170901231e+07, -4.671490e+01
1.303222659044e+07, -4.668785e+01
1.306274416856e+07, -4.662972e+01
1.309326174669e+07, -4.657302e+01
1.312377932481e+07, -4.651171e+01
1.315429690294e+07, -4.645280e+01
1.318481448106e+07, -4.637166e+01
1.321533205919e+07, -4.631114e+01
1.324584963731e+07, -4.631823e+01
1.327636721544e+07, -4.638137e+01
1.330688479356e+07, -4.646935e+01
1.333740237169e+07, -4.652710e+01
1.336791994981e+07, -4.656336e+01
1.339843752794e+07, -4.655434e+01
1.342895510606e+07, -4.649219e+01
1.345947268419e+07, -4.643098e+01
1.348999026231e+07, -4.643739e+01
1.352050784044e+07, -4.646752e+01
1.355102541856e+07, -4.646647e+01
1.358154299669e+07, -4.644547e+01
1.361206057481e+07, -4.645523e+01
1.364257815294e+07, -4.647479e+01
1.367309573106e+07, -4.648121e+01
1.370361330919e+07, -4.646523e+01
1.373413088731e+07, -4.644165e+01
1.376464846544e+07, -4.641931e+01
1.379516604356e+07, -4.645035e+01
1.382568362169e+07, -4.653069e+01
1.385620119981e+07, -4.660495e+01
1.388671877794e+07, -4.667501e+01
1.391723635606e+07, -4.673629e+01
1.394775393419e+07, -4.678408e+01
1.397827151231e+07, -4.680728e+01
1.400878909044e+07, -4.679836e+01
1.403930666856e+07, -4.674986e+01
1.406982424669e+07, -4.668285e+01
1.410034182481e+07, -4.660618e+01
1.413085940294e+07, -4.656597e+01
1.416137698106e+07, -4.660057e+01
1.419189455919e+07, -4.670221e+01
1.422241213731e+07, -4.684308e+01
1.425292971544e+07, -4.699157e+01
1.428344729356e+07, -4.711653e+01
1.431396487169e+07, -4.717697e+01
1.434448244981e+07, -4.714425e+01
1.437500002794e+07, -4.702961e+01
1.440551760606e+07, -4.693071e+01
1.443603518419e+07, -4.690235e+01
1.446655276231e+07, -4.692477e+01
1.449707034044e+07, -4.699087e+01
1.452758791856e+07, -4.703553e+01
1.455810549669e+07, -4.705123e+01
1.458862307481e+07, -4.704562e+01
1.461914065294e+07, -4.700234e+01
1.464965823106e+07, -4.698420e+01
1.468017580919e+07, -4.701262e+01
1.471069338731e+07, -4.711781e+01
1.474121096544e+07, -4.718852e+01
1.477172854356e+07, -4.719038e+01
1.480224612169e+07, -4.716169e+01
1.483276369981e+07, -4.711095e+01
1.486328127794e+07, -4.706890e+01
1.489379885606e+07, -4.701605e+01
1.492431643419e+07, -4.694523e+01
1.495483401231e+07, -4.687046e+01
1.498535159044e+07, -4.686001e+01
1.501586916856e+07, -4.690066e+01
1.504638674669e+07, -4.692415e+01
1.507690432481e+07, -4.690691e+01
1.510742190294e+07, -4.689257e+01
1.513793948106e+07, -4.688040e+01
1.516845705919e+07, -4.682849e+01
1.519897463731e+07, -4.675431e+01
1.522949221544e+07, -4.664466e+01
1.526000979356e+07, -4.652414e+01
1.529052737169e+07, -4.642574e+01
1.532104494981e+07, -4.637103e+01
1.535156252794e+07, -4.633869e+01
1.538208010606e+07, -4.634126e+01
1.541259768419e+07, -4.637177e+01
1.544311526231e+07, -4.641679e+01
1.547363284044e+07, -4.649628e+01
1.550415041856e+07, -4.654909e+01
1.553466799669e+07, -4.655576e+01
1.556518557481e+07, -4.657929e+01
1.559570315294e+07, -4.665448e+01
1.562622073106e+07, -4.676138e+01
1.565673830919e+07, -4.683905e+01
1.568725588731e+07, -4.687773e+01
1.571777346544e+07, -4.687789e+01
1.574829104356e+07, -4.680264e+01
1.577880862169e+07, -4.673414e+01
1.580932619981e+07, -4.670265e+01
1.583984377794e+07, -4.672225e+01
1.587036135606e+07, -4.675788e+01
1.590087893419e+07, -4.676063e+01
1.593139651231e+07, -4.671452e+01
1.596191409044e+07, -4.666777e+01
1.599243166856e+07, -4.665430e+01
1.602294924669e+07, -4.669965e+01
1.605346682481e+07, -4.677089e+01
1.608398440294e+07, -4.679550e+01
1.611450198106e+07, -4.679570e+01
1.614501955919e+07, -4.683637e+01
1.617553713731e+07, -4.690332e+01
1.620605471544e+07, -4.693885e+01
1.623657229356e+07, -4.696585e+01
1.626708987169e+07, -4.698748e+01
1.629760744981e+07, -4.704345e+01
1.632812502794e+07, -4.711806e+01
1.635864260606e+07, -4.722066e+01
1.638916018419e+07, -4.733901e+01
1.641967776231e+07, -4.743459e+01
1.645019534044e+07, -4.747846e+01
1.648071291856e+07, -4.751206e+01
1.651123049669e+07, -4.751844e+01
1.654174807481e+07, -4.751240e+01
1.657226565294e+07, -4.749817e+01
1.660278323106e+07, -4.748820e+01
1.663330080919e+07, -4.752657e+01
1.666381838731e+07, -4.757280e+01
1.669433596544e+07, -4.760933e+01
1.672485354356e+07, -4.761288e+01
1.675537112169e+07, -4.757736e+01
1.678588869981e+07, -4.752335e+01
1.681640627794e+07, -4.744678e+01
1.684692385606e+07, -4.737235e+01
1.687744143419e+07, -4.732165e+01
1.690795901231e+07, -4.728176e+01
1.693847659044e+07, -4.729220e+01
1.696899416856e+07, -4.734138e+01
1.699951174669e+07, -4.736055e+01
1.703002932481e+07, -4.737993e+01
1.706054690294e+07, -4.742758e+01
1.709106448106e+07, -4.750872e+01
1.712158205919e+07, -4.757929e+01
1.715209963731e+07, -4.761571e+01
1.718261721544e+07, -4.762070e+01
1.721313479356e+07, -4.759114e+01
1.724365237169e+07, -4.758128e+01
1.727416994981e+07, -4.756468e+01
1.730468752794e+07, -4.754922e+01
1.733520510606e+07, -4.753689e+01
1.736572268419e+07, -4.749847e+01
1.739624026231e+07, -4.745461e+01
1.742675784044e+07, -4.744917e+01
1.745727541856e+07, -4.750529e+01
1.748779299669e+07, -4.757375e+01
1.751831057481e+07, -4.760133e+01
1.754882815294e+07, -4.757411e+01
1.757934573106e+07, -4.755854e+01
1.760986330919e+07, -4.757007e+01
1.764038088731e+07, -4.757743e+01
1.767089846544e+07, -4.758125e+01
1.770141604356e+07, -4.758225e+01
1.773193362169e+07, -4.754750e+01
1.776245119981e+07, -4.746546e+01
1.779296877794e+07, -4.738209e+01
1.782348635606e+07, -4.735126e+01
1.785400393419e+07, -4.738230e+01
1.788452151231e+07, -4.741117e+01
1.791503909044e+07, -4.736223e+01
1.794555666856e+07, -4.726092e+01
1.797607424669e+07, -4.718485e+01
1.800659182481e+07, -4.713624e+01
1.803710940294e+07, -4.709207e+01
1.806762698106e+07, -4.707313e+01
1.809814455919e+07, -4.707847e+01
1.812866213731e+07, -4.713337e+01
1.815917971544e+07, -4.720478e+01
1.818969729356e+07, -4.727463e+01
1.822021487169e+07, -4.728899e+01
1.825073244981e+07, -4.730122e+01
1.828125002794e+07, -4.732579e+01
1.831176760606e+07, -4.735209e+01
1.834228518419e+07, -4.739517e+01
1.837280276231e+07, -4.741355e+01
1.840332034044e+07, -4.739868e+01
1.843383791856e+07, -4.733389e+01
1.846435549669e+07, -4.723904e+01
1.849487307481e+07, -4.718302e+01
1.852539065294e+07, -4.722332e+01
1.855590823106e+07, -4.733868e+01
1.858642580919e+07, -4.749738e+01
1.861694338731e+07, -4.762751e+01
1.864746096544e+07, -4.765331e+01
1.867797854356e+07, -4.760012e+01
1.870849612169e+07, -4.752956e+01
1.873901369981e+07, -4.748504e+01
1.876953127794e+07, -4.746234e+01
1.880004885606e+07, -4.743236e+01
1.883056643419e+07, -4.741786e+01
1.886108401231e+07, -4.740212e+01
1.889160159044e+07, -4.740256e+01
1.892211916856e+07, -4.742460e+01
1.895263674669e+07, -4.744702e+01
1.898315432481e+07, -4.747979e+01
1.901367190294e+07, -4.755926e+01
1.904418948106e+07, -4.763793e+01
1.907470705919e+07, -4.768915e+01
1.910522463731e+07, -4.770155e+01
1.913574221544e+07, -4.767044e+01
1.916625979356e+07, -4.763010e+01
1.919677737169e+07, -4.765304e+01
1.922729494981e+07, -4.773890e+01
1.925781252794e+07, -4.784268e+01
1.928833010606e+07, -4.790771e+01
1.931884768419e+07, -4.791520e+01
1.934936526231e+07, -4.788127e+01
1.937988284044e+07, -4.781297e+01
1.941040041856e+07, -4.774345e+01
1.944091799669e+07, -4.770782e+01
1.947143557481e+07, -4.768707e+01
1.950195315294e+07, -4.768638e+01
1.953247073106e+07, -4.770139e+01
1.956298830919e+07, -4.767479e+01
1.959350588731e+07, -4.767025e+01
1.962402346544e+07, -4.774000e+01
1.965454104356e+07, -4.784580e+01
1.968505862169e+07, -4.788482e+01
1.971557619981e+07, -4.782125e+01
1.974609377794e+07, -4.769593e+01
1.977661135606e+07, -4.758787e+01
1.980712893419e+07, -4.753222e+01
1.983764651231e+07, -4.756427e+01
1.986816409044e+07, -4.769729e+01
1.989868166856e+07, -4.784590e+01
1.992919924669e+07, -4.790627e+01
1.995971682481e+07, -4.787021e+01
1.999023440294e+07, -4.779776e+01
2.002075198106e+07, -4.772033e+01
2.005126955919e+07, -4.762297e+01
2.008178713731e+07, -4.758218e+01
2.011230471544e+07, -4.761428e+01
2.014282229356e+07, -4.769661e+01
2.017333987169e+07, -4.779381e+01
2.020385744981e+07, -4.785420e+01
2.023437502794e+07, -4.790378e+01
2.026489260606e+07, -4.791869e+01
2.029541018419e+07, -4.790437e+01
2.032592776231e+07, -4.787578e+01
2.035644534044e+07, -4.780787e+01
2.038696291856e+07, -4.771715e+01
2.041748049669e+07, -4.764893e+01
2.044799807481e+07, -4.762099e+01
2.047851565294e+07, -4.763671e+01
2.050903323106e+07, -4.766563e+01
2.053955080919e+07, -4.766549e+01
2.057006838731e+07, -4.760492e+01
2.060058596544e+07, -4.750609e+01
2.063110354356e+07, -4.739343e+01
2.066162112169e+07, -4.733325e+01
2.069213869981e+07, -4.731760e+01
2.072265627794e+07, -4.729777e+01
2.075317385606e+07, -4.725841e+01
2.078369143419e+07, -4.719663e+01
2.081420901231e+07, -4.715909e+01
2.084472659044e+07, -4.722898e+01
2.087524416856e+07, -4.737421e+01
2.090576174669e+07, -4.751931e+01
2.093627932481e+07, -4.760054e+01
2.096679690294e+07, -4.761058e+01
2.099731448106e+07, -4.762681e+01
2.102783205919e+07, -4.766323e+01
2.105834963731e+07, -4.770339e+01
2.108886721544e+07, -4.768450e+01
2.111938479356e+07, -4.767093e+01
2.114990237169e+07, -4.764619e+01
2.118041994981e+07, -4.760510e+01
2.121093752794e+07, -4.759297e+01
2.124145510606e+07, -4.760705e+01
2.127197268419e+07, -4.760067e+01
2.130249026231e+07, -4.758519e+01
2.133300784044e+07, -4.757165e+01
2.136352541856e+07, -4.755395e+01
2.139404299669e+07, -4.755805e+01
2.142456057481e+07, -4.762438e+01
2.145507815294e+07, -4.773152e+01
2.148559573106e+07, -4.781725e+01
2.151611330919e+07, -4.782831e+01
2.154663088731e+07, -4.781292e+01
2.157714846544e+07, -4.784586e+01
2.160766604356e+07, -4.798148e+01
2.163818362169e+07, -4.821391e+01
2.166870119981e+07, -4.844532e+01
2.169921877794e+07, -4.857367e+01
2.172973635606e+07, -4.858360e+01
2.176025393419e+07, -4.850679e+01
2.179077151231e+07, -4.840261e+01
2.182128909044e+07, -4.835365e+01
2.185180666856e+07, -4.838155e+01
2.188232424669e+07, -4.845806e+01
2.191284182481e+07, -4.855185e+01
